criterion_id,category,label,description,default_weight,dealbreaker_allowed,higher_is_better,objective,active
workaholism_sustainability,environment_mental_health,Fit for workaholism management,Whether the culture limits toxic overwork rather than rewarding it,5,TRUE,TRUE,FALSE,TRUE
routine_stability,environment_mental_health,Routine stability,How easy it seems to build stable habits sleep and daily structure,4,FALSE,TRUE,FALSE,TRUE
weather_and_daily_quality,environment_mental_health,Weather and daily quality,How much the location improves ordinary life and energy,2,FALSE,TRUE,FALSE,TRUE
access_to_nature,environment_mental_health,Access to nature,Availability of outdoor decompression and space,2,FALSE,TRUE,FALSE,TRUE
access_to_mental_health_support,environment_mental_health,Mental health support,Quality and accessibility of counseling or related support,4,TRUE,TRUE,FALSE,TRUE
overall_emotional_sustainability,environment_mental_health,Overall emotional sustainability,Whether she can imagine thriving there for five to seven years,5,TRUE,TRUE,FALSE,TRUE
faculty_warmth,department_culture,Faculty warmth,Whether faculty interactions feel human encouraging and respectful,4,TRUE,TRUE,FALSE,TRUE
cohort_collegiality,department_culture,Cohort collegiality,Whether graduate students seem mutually supportive rather than cutthroat,4,TRUE,TRUE,FALSE,TRUE
respect_and_belonging,department_culture,Respect and belonging,Whether she is likely to feel valued and included in the department,5,TRUE,TRUE,FALSE,TRUE
intimidation_vs_support,department_culture,Support over intimidation,Whether the atmosphere feels supportive rather than intimidating,5,TRUE,TRUE,FALSE,TRUE
transparency_of_expectations,department_culture,Transparency of expectations,How clearly milestones standards and norms are communicated,4,FALSE,TRUE,FALSE,TRUE
administrative_competence,department_culture,Administrative competence,How functional the department appears on routine student matters,3,FALSE,TRUE,FALSE,TRUE
toxic_competitiveness_risk,department_culture,Low toxic competitiveness risk,How unlikely it is that status games dominate the culture,5,TRUE,TRUE,FALSE,TRUE
ability_to_ask_for_help,department_culture,Ability to ask for help,Whether needing help seems acceptable and safe,4,TRUE,TRUE,FALSE,TRUE
placement_strength,career_outcomes,Placement strength,How well graduates land strong jobs overall,5,TRUE,TRUE,FALSE,TRUE
prestige_brand,career_outcomes,Prestige and brand,How much outside prestige may help on the job market,4,FALSE,TRUE,FALSE,TRUE
niche_reputation,career_outcomes,Niche reputation,Reputation in her specific subfield rather than only overall prestige,4,TRUE,TRUE,FALSE,TRUE
letter_writer_strength,career_outcomes,Letter writer strength,Likelihood of getting strong letters from visible faculty,4,TRUE,TRUE,FALSE,TRUE
publication_support,career_outcomes,Publication support,How strongly the program helps students publish early,4,FALSE,TRUE,FALSE,TRUE
external_network_access,career_outcomes,External network access,Access to conferences workshops and leading scholars,4,FALSE,TRUE,FALSE,TRUE
career_optionality,career_outcomes,Career optionality,How well the training supports both academic and nonacademic exits,3,FALSE,TRUE,FALSE,TRUE
distance_to_support_network,personal_life,Support network access,Ease of staying connected to important people,3,FALSE,TRUE,FALSE,TRUE
lifestyle_fit,personal_life,Lifestyle fit,How well the city or town fits the life she actually wants,4,FALSE,TRUE,FALSE,TRUE
ease_building_community,personal_life,Ease of building community,How easy it seems to build friendships and life outside the department,3,FALSE,TRUE,FALSE,TRUE
overall_livability,personal_life,Overall livability,Whether daily life there feels pleasant and workable,4,TRUE,TRUE,FALSE,TRUE
known_vs_unknown,decision_risk,Information certainty,How much solid information she has relative to guesswork,4,FALSE,TRUE,FALSE,TRUE
reliance_on_single_professor,decision_risk,Advisor redundancy,Whether success depends on one professor rather than several viable mentors,5,TRUE,TRUE,FALSE,TRUE
confidence_against_regret,decision_risk,Confidence against regret,How likely she is to feel at peace with the choice two years from now,5,TRUE,TRUE,FALSE,TRUE
late_offer_process_confidence,decision_risk,Confidence in admissions process,Whether the admissions process itself increases trust in the option,3,FALSE,TRUE,FALSE,TRUE
switching_cost_acceptance_status,decision_risk,Administrative switching ease,How easy it is to change plans without significant fallout,2,FALSE,TRUE,FALSE,TRUE
decision_reversibility,decision_risk,Decision reversibility,How much room there is to recover if the choice proves wrong,2,FALSE,TRUE,FALSE,TRUE
